RELLAKE,RELLAKE_WBID,WATERBODYID,WATERBODYNAME,BEST_TROPHIC_CLASS
ABENIKI LAKE,NHLAK801010401-01,NHLAK801010401-01,ABENIKI LAKE,OLIGOTROPHIC
ABENIKI LAKE,NHLAK801010401-01,NHLAK801010401-01,ABENIKI LAKE,OLIGOTROPHIC
ADAMS POND,NHLAK700060501-01,NHLAK700060501-01,ADAMS POND,MESOTROPHIC
ADAMS POND,NHLAK700061203-01,NHLAK700061203-01,ADAMS POND,EUTROPHIC
ADAMS POND,NHLAK700061203-01,NHLAK700061203-01,ADAMS POND,EUTROPHIC
ADAMS POND,NHLAK700060501-01,NHLAK700060501-01,ADAMS POND,MESOTROPHIC
ADDER POND,NHLAK700030403-01,NHLAK700030403-01,ADDER POND,MESOTROPHIC
ADDER POND,NHLAK700030403-01,NHLAK700030403-01,ADDER POND,MESOTROPHIC
ADDER POND,NHLAK700030403-01,NHLAK700030403-01,ADDER POND,MESOTROPHIC
ADDER POND,NHLAK700030403-01,NHLAK700030403-01,ADDER POND,MESOTROPHIC
ADDER POND,NHLAK700030403-01,NHLAK700030403-01,ADDER POND,MESOTROPHIC
ADDER POND,NHLAK700030403-01,NHLAK700030403-01,ADDER POND,MESOTROPHIC
ADDER POND,NHLAK700030403-01,NHLAK700030403-01,ADDER POND,MESOTROPHIC
AKERS POND,NHLAK400010502-01,NHLAK400010502-01,AKERS POND,MESOTROPHIC
AKERS POND,NHLAK400010502-01,NHLAK400010502-01,AKERS POND,MESOTROPHIC
AKERS POND,NHLAK400010502-01,NHLAK400010502-01,AKERS POND,MESOTROPHIC
ANDERSON POND,NHLAK801060401-01,NHLAK801060401-01,ANDERSON POND,EUTROPHIC
ANDERSON POND,NHLAK801060401-01,NHLAK801060401-01,ANDERSON POND,EUTROPHIC
ANGLE POND,NHLAK700061403-01-01,NHLAK700061403-01-01,ANGLE POND,MESOTROPHIC
ANGLE POND,NHLAK700061403-01-01,NHLAK700061403-01-01,ANGLE POND,MESOTROPHIC
ANGLE POND,NHLAK700061403-01-01,NHLAK700061403-01-01,ANGLE POND,MESOTROPHIC
ANGLE POND,NHLAK700061403-01-01,NHLAK700061403-01-01,ANGLE POND,MESOTROPHIC
ANGLE POND,NHLAK700061403-01-01,NHLAK700061403-01-01,ANGLE POND,MESOTROPHIC
ANGLE POND,NHLAK700061403-01-01,NHLAK700061403-01-01,ANGLE POND,MESOTROPHIC
ANGLE POND,NHLAK700061403-01-01,NHLAK700061403-01-01,ANGLE POND,MESOTROPHIC
ANGLE POND,NHLAK700061403-01-01,NHLAK700061403-01-01,ANGLE POND,MESOTROPHIC
ANGLE POND,NHLAK700061403-01-01,NHLAK700061403-01-01,ANGLE POND,MESOTROPHIC
ARCHERS POND,NHLAK600020701-01,NHLAK600020701-01,ARCHERS POND,MESOTROPHIC
ARCHERS POND,NHLAK600020701-01,NHLAK600020701-01,ARCHERS POND,MESOTROPHIC
ARLINGTON MILL RESERVOIR,NHLAK700061101-04,NHLAK700061101-04,ARLINGTON MILL RESERVOIR,MESOTROPHIC
ARLINGTON MILL RESERVOIR,NHLAK700061101-04,NHLAK700061101-04,ARLINGTON MILL RESERVOIR,MESOTROPHIC
ARLINGTON MILL RESERVOIR,NHLAK700061101-04,NHLAK700061101-04,ARLINGTON MILL RESERVOIR,MESOTROPHIC
ARLINGTON MILL RESERVOIR,NHLAK700061101-04,NHLAK700061101-04,ARLINGTON MILL RESERVOIR,MESOTROPHIC
ARLINGTON MILL RESERVOIR,NHLAK700061101-04,NHLAK700061101-04,ARLINGTON MILL RESERVOIR,MESOTROPHIC
ARLINGTON MILL RESERVOIR,NHLAK700061101-04,NHLAK700061101-04,ARLINGTON MILL RESERVOIR,MESOTROPHIC
ARLINGTON MILL RESERVOIR,NHLAK700061101-04,NHLAK700061101-04,ARLINGTON MILL RESERVOIR,MESOTROPHIC
ARLINGTON MILL RESERVOIR,NHLAK700061101-04,NHLAK700061101-04,ARLINGTON MILL RESERVOIR,MESOTROPHIC
ARLINGTON MILL RESERVOIR,NHLAK700061101-04,NHLAK700061101-04,ARLINGTON MILL RESERVOIR,MESOTROPHIC
ARLINGTON MILL RESERVOIR,NHLAK700061101-04,NHLAK700061101-04,ARLINGTON MILL RESERVOIR,MESOTROPHIC
ARLINGTON MILL RESERVOIR,NHLAK700061101-04,NHLAK700061101-04,ARLINGTON MILL RESERVOIR,MESOTROPHIC
ARLINGTON MILL RESERVOIR,NA,NHLAK700061101-04,ARLINGTON MILL RESERVOIR,MESOTROPHIC
ARLINGTON MILL RESERVOIR,NHLAK700061101-04,NHLAK700061101-04,ARLINGTON MILL RESERVOIR,MESOTROPHIC
ARLINGTON MILL RESERVOIR,NHLAK700061101-04,NHLAK700061101-04,ARLINGTON MILL RESERVOIR,MESOTROPHIC
ARLINGTON MILL RESERVOIR,NHLAK700061101-04,NHLAK700061101-04,ARLINGTON MILL RESERVOIR,MESOTROPHIC
ARLINGTON MILL RESERVOIR,NHLAK700061101-04,NHLAK700061101-04,ARLINGTON MILL RESERVOIR,MESOTROPHIC
ARLINGTON MILL RESERVOIR,NHLAK700061101-04,NHLAK700061101-04,ARLINGTON MILL RESERVOIR,MESOTROPHIC
ARLINGTON MILL RESERVOIR,NHLAK700061101-04,NHLAK700061101-04,ARLINGTON MILL RESERVOIR,MESOTROPHIC
ARMINGTON LAKE,NHLAK801040201-01,NHLAK801040201-01,ARMINGTON LAKE,OLIGOTROPHIC
ARMINGTON LAKE,NHLAK801040201-01,NHLAK801040201-01,ARMINGTON LAKE,OLIGOTROPHIC
ARMINGTON LAKE,NHLAK801040201-01,NHLAK801040201-01,ARMINGTON LAKE,OLIGOTROPHIC
ARMINGTON LAKE,NHLAK801040201-01,NHLAK801040201-01,ARMINGTON LAKE,OLIGOTROPHIC
ARMINGTON LAKE,NHLAK801040201-01,NHLAK801040201-01,ARMINGTON LAKE,OLIGOTROPHIC
ARMINGTON LAKE,NHLAK801040201-01,NHLAK801040201-01,ARMINGTON LAKE,OLIGOTROPHIC
