RELLAKE_WBID,RELLAKE,TOWN,STATNAME,STATIONID,PROJID,PUB
NHLAK400010502-01,AKERS POND,ERROL,AKERS POND-DEEP SPOT,AKEERRD,VLAP,LM-195
NHLAK700061403-01-01,ANGLE POND,HAMPSTEAD,ANGLE POND-SAYRE INLET EAST FORK,ANGSDNSYIE,VLAP,LM-001
NHLAK700061403-01-01,ANGLE POND,HAMPSTEAD,ANGLE POND-SAYRE INLET UPPER EAST FORK,ANGSDNSYIUEF,VLAP,LM-001
NHLAK700061403-01-01,ANGLE POND,HAMPSTEAD,ANGLE POND-SAYRE INLET WEST FORK,ANGSDNSYIW,VLAP,LM-001
NHLAK700061403-01-01,ANGLE POND,SANDOWN,ANGLE POND-CONDOS,ANGSDNC,VLAP,LM-001
NHLAK700061403-01-01,ANGLE POND,SANDOWN,ANGLE POND-DEEP SPOT,ANGSDND,VLAP,LM-001
NHLAK700061403-01-01,ANGLE POND,SANDOWN,ANGLE POND-EAST LANE PIPE,ANGSDNELP,VLAP,LM-001
NHLAK700061403-01-01,ANGLE POND,SANDOWN,ANGLE POND-HYNDS INLET,ANGSDNH,VLAP,LM-001
NHLAK700061403-01-01,ANGLE POND,SANDOWN,ANGLE POND-LAKEVIEW RAMP,ANGSDNLV,VLAP,LM-001
NHLAK700061403-01-01,ANGLE POND,SANDOWN,ANGLE POND-NORTH INLET,ANGSDNNI,VLAP,LM-001
NHLAK700061403-01-01,ANGLE POND,SANDOWN,ANGLE POND-OUTLET,ANGSDNO,VLAP,LM-001
NHLAK700061403-01-01,ANGLE POND,SANDOWN,ANGLE POND-SMITH INLET,ANGSDNSMI,VLAP,LM-001
NHLAK700061403-01-01,ANGLE POND,SANDOWN,ANGLE POND-SAYRE INLET,ANGSDNSYI,VLAP,LM-001
NHLAK700061403-01-01,ANGLE POND,SANDOWN,ANGLE POND-WEST INLET,ANGSDNWI,VLAP,LM-001
NHLAK700061403-01-01,ANGLE POND,SANDOWN,ANGLE POND-WEST SHORE DRAINAGE PIPE,ANGSDNWSD,VLAP,LM-001
NHLAK801040201-01,ARMINGTON LAKE,PIERMONT,ARMINGTON LAKE-1,ARMPIE1,VLAP,LM-002
NHLAK801040201-01,ARMINGTON LAKE,PIERMONT,ARMINGTON LAKE-2,ARMPIE2,VLAP,LM-002
NHLAK801040201-01,ARMINGTON LAKE,PIERMONT,ARMINGTON LAKE-SITE 2A,ARMPIE2A,VLAP,LM-002
NHLAK801040201-01,ARMINGTON LAKE,PIERMONT,ARMINGTON LAKE-SITE 2B,ARMPIE2B,VLAP,LM-002
NHLAK801040201-01,ARMINGTON LAKE,PIERMONT,ARMINGTON LAKE-SITE 2C,ARMPIE2C,VLAP,LM-002
NHLAK801040201-01,ARMINGTON LAKE,PIERMONT,ARMINGTON LAKE-3,ARMPIE3,VLAP,LM-002
NHLAK801040201-01,ARMINGTON LAKE,PIERMONT,ARMINGTON LAKE-SITE 3A,ARMPIE3A,VLAP,LM-002
NHLAK801040201-01,ARMINGTON LAKE,PIERMONT,ARMINGTON LAKE-4,ARMPIE4,VLAP,LM-002
NHLAK801040201-01,ARMINGTON LAKE,PIERMONT,ARMINGTON LAKE-SITE 4A,ARMPIE4A,VLAP,LM-002
NHLAK801040201-01,ARMINGTON LAKE,PIERMONT,ARMINGTON LAKE-5,ARMPIE5,VLAP,LM-002
NHLAK801040201-01,ARMINGTON LAKE,PIERMONT,ARMINGTON LAKE-SITE 5A,ARMPIE5A,VLAP,LM-002
NHLAK801040201-01,ARMINGTON LAKE,PIERMONT,ARMINGTON LAKE-SITE 5B,ARMPIE5B,VLAP,LM-002
NHLAK801040201-01,ARMINGTON LAKE,PIERMONT,ARMINGTON LAKE-SITE 5C,ARMPIE5C,VLAP,LM-002
NHLAK801040201-01,ARMINGTON LAKE,PIERMONT,ARMINGTON LAKE-6,ARMPIE6,VLAP,LM-002
NHLAK801040201-01,ARMINGTON LAKE,PIERMONT,ARMINGTON LAKE-SITE 6A,ARMPIE6A,VLAP,LM-002
NHLAK801040201-01,ARMINGTON LAKE,PIERMONT,ARMINGTON LAKE-SITE 6C,ARMPIE6C,VLAP,LM-002
NHLAK801040201-01,ARMINGTON LAKE,PIERMONT,ARMINGTON LAKE-SITE 6D,ARMPIE6D,VLAP,LM-002
NHLAK801040201-01,ARMINGTON LAKE,PIERMONT,ARMINGTON LAKE-SITE 6E,ARMPIE6E,VLAP,LM-002
NHLAK801040201-01,ARMINGTON LAKE,PIERMONT,ARMINGTON LAKE-SITE 6F,ARMPIE6F,VLAP,LM-002
NHLAK801040201-01,ARMINGTON LAKE,PIERMONT,ARMINGTON LAKE-SITE 6H,ARMPIE6H,VLAP,LM-002
NHLAK801040201-01,ARMINGTON LAKE,PIERMONT,ARMINGTON LAKE-SITE 6J,ARMPIE6J,VLAP,LM-002
NHLAK801040201-01,ARMINGTON LAKE,PIERMONT,ARMINGTON LAKE-SITE 6K,ARMPIE6K,VLAP,LM-002
NHLAK801040201-01,ARMINGTON LAKE,PIERMONT,ARMINGTON LAKE-DEEP SPOT,ARMPIED,VLAP,LM-002
NHLAK801040201-01,ARMINGTON LAKE,PIERMONT,ARMINGTON LAKE-BACTERIA SAMPLE #01,ARMPIEEC01,VLAP,LM-002
NHLAK801040201-01,ARMINGTON LAKE,PIERMONT,ARMINGTON LAKE-BACTERIA SAMPLE #02,ARMPIEEC02,VLAP,LM-002
NHLAK801040201-01,ARMINGTON LAKE,PIERMONT,ARMINGTON LAKE-BACTERIA SAMPLE #03,ARMPIEEC03,VLAP,LM-002
NHLAK801040201-01,ARMINGTON LAKE,PIERMONT,ARMINGTON LAKE-BACTERIA SAMPLE #04,ARMPIEEC04,VLAP,LM-002
NHLAK801040201-01,ARMINGTON LAKE,PIERMONT,ARMINGTON LAKE-INLET,ARMPIEI,VLAP,LM-002
NHLAK801040201-01,ARMINGTON LAKE,PIERMONT,ARMINGTON LAKE-INLET A,ARMPIEIA,VLAP,LM-002
NHLAK801040201-01,ARMINGTON LAKE,PIERMONT,ARMINGTON LAKE-INLET LEFT,ARMPIEIL,VLAP,LM-002
NHLAK801040201-01,ARMINGTON LAKE,PIERMONT,ARMINGTON LAKE-OUTLET,ARMPIEO,VLAP,LM-002
NHLAK802010101-01,ASHUELOT POND,WASHINGTON,ASHUELOT POND-ADAMS A,ASHWASAA,VLAP,LM-003
