STATNAME,Alk. (mg/L),Chlor-a (μg/L),Chloride (mg/L),Color (pcu),Cond. (μS/cm),Total P (μg/L),Trans. NVS (m),Trans. VS (m),Turb. (ntu),pH,E. coli (mpn/100 mL)
Epilimnion,3.7,4.75,16,90,79.97,16,2.3,3.14,0.93,6.29,-
Hypolimnion,-,-,-,-,79.01,16,-,-,1.21,6,-
Cochrane Inlet E,-,-,22,-,93.845,11,-,-,0.47,4.94,-
Cochrane Inlet W,-,-,120,-,356.09000000000003,26,-,-,3.81,5.24,-
Dam Outlet,-,-,-,-,101.68,16,-,-,1.32,6,-
Jowder Cove Inlet,-,-,24,-,107.11666666666667,18,-,-,0.9,6.38,-
Jowder Cove Inlet Upstream,-,-,23,-,103.32000000000001,18,-,-,1.48,6.42,-
Rue Deschenes Inlet,-,-,72,-,266,27,-,-,2.05,6.24,-
South End,-,-,17,-,78.92666666666666,12,-,-,0.83,6.42,-
Squantum Inlet,-,-,26,-,129.86666666666667,57,-,-,0.9,6.14,-
Townline Inlet,-,-,20,-,93.665,14,-,-,1.1,6.27,-
Townline Inlet Upstream,-,-,8,-,45.89,12,-,-,0.82,6.18,-
Walsh Inlet,-,-,3,-,22.81,12,-,-,0.91,6.24,-
