STATNAME,Alk. (mg/L),Chlor-a (μg/L),Chloride (mg/L),Color (pcu),Cond. (μS/cm),Total P (μg/L),Trans. NVS (m),Trans. VS (m),Turb. (ntu),pH,E. coli (mpn/100 mL)
Epilimnion,21.6,6.56,47,72,223.65,15,2.62,3.44,0.86,7.29,-
Metalimnion,-,-,-,-,209.5,17,-,-,1.48,6.74,-
Hypolimnion,-,-,-,-,217.36,46,-,-,2.4,6.74,-
Condos,-,-,115,-,635,12,-,-,0.25,5.95,-
Lakeview Ramp,-,-,55,-,273.6,41,-,-,2.25,6.75,-
North Inlet,-,-,33,-,160.3,27,-,-,0.89,6.29,-
Outlet,-,-,-,-,233.66,20,-,-,0.9,6.94,-
Sayre Inlet,-,-,92,-,396.1,364,-,-,9.76,6.64,-
Smith Inlet,-,-,115,-,498.1,60,-,-,4.3,6.65,-
West Inlet,-,-,44,-,227.3,25,-,-,0.61,6.49,-
