STATNAME,Alk. (mg/L),Chlor-a (μg/L),Chloride (mg/L),Color (pcu),Cond. (μS/cm),Total P (μg/L),Trans. NVS (m),Trans. VS (m),Turb. (ntu),pH,E. coli (mpn/100 mL)
Epilimnion,9.3,6.77,9,22,80.68,6,6.23,6.28,0.73,6.94,-
Metalimnion,-,-,-,-,78.66,17,-,-,0.76,6.48,-
Hypolimnion,-,-,-,-,86.775,17,-,-,4,6.44,-
Billings Pond,-,-,6,-,54.45,11,-,-,1.06,6.89,-
Brown Inlet,-,-,-,-,54.855,11,-,-,0.42,7.3,-
Outlet,-,-,-,-,79.02,<5,-,-,0.38,7.08,-
Russell Inlet,-,-,-,-,203.8,12,-,-,1.09,7.16,-
Russell Pond,-,-,28,-,171.4,20,-,-,1.37,7.25,-
Sheep Dip Inlet,-,-,3,-,82.28,15,-,-,1.48,7.27,-
Wrights Beach,-,-,-,-,-,<5,-,-,-,-,1
