STATNAME,Alk. (mg/L),Chlor-a (μg/L),Chloride (mg/L),Color (pcu),Cond. (μS/cm),Total P (μg/L),Trans. NVS (m),Trans. VS (m),Turb. (ntu),pH,E. coli (mpn/100 mL)
Epilimnion,36.4,3.87,108,27,448.3666666666667,15,3.22,3.5,1.27,7.74,-
Metalimnion,-,-,94,-,441.575,19,-,-,2.2,7,-
Hypolimnion,-,-,96,-,454.7,38,-,-,3.95,7.3,-
Armstrong,-,-,147,-,639.1,17,-,-,0.66,7.29,-
Bella Vista,-,-,100,-,459.1666666666667,27,-,-,3.45,7.62,-
Community Beach,-,-,-,-,448.1333333333333,29,-,-,14,7.64,-
Connies Brook At 111,-,-,106,-,453.2,14,-,-,5.73,7.01,-
Dinsmore West,-,-,229,-,1102.5,83,-,-,17.16,7.7,-
Fossa Rd Inlet,-,-,156,-,583.5,38,-,-,2.34,7.15,-
Hollow Glenn Brook,-,-,266,-,1003.2,12,-,-,1.97,6.88,-
Horseshoe Rd,-,-,48,-,275.4666666666667,119,-,-,9.4,7.2,-
Main Inlet Castleton Brook,-,-,268,-,1218.2333333333333,15,-,-,6.37,7.06,-
Mess,-,-,-,-,67.67,104,-,-,2.74,6.09,-
Monson Inlet,-,-,163,-,549.6,30,-,-,0.21,7.03,-
Mueller Stream,-,-,77,-,303.2,18,-,-,16.8,7.16,-
Outlet,-,-,179,-,358.73333333333335,32,-,-,1.81,7.25,-
Town Beach,-,-,-,-,969.3333333333334,89,-,-,13.47,6.85,-
Walkey Rd,-,-,129,-,570.9,95,-,-,2.2,7.25,-
