STATNAME,Alk. (mg/L),Chlor-a (μg/L),Chloride (mg/L),Color (pcu),Cond. (μS/cm),Total P (μg/L),Trans. NVS (m),Trans. VS (m),Turb. (ntu),pH,E. coli (mpn/100 mL)
Epilimnion,8.1,3.04,5,34,42.42,13,4.22,5.75,0.65,7.08,-
Metalimnion,-,-,-,-,43.22,7,-,-,0.42,6.69,-
Hypolimnion,-,-,-,-,43.59,9,-,-,0.9,6.58,-
Boxlet Inlet,-,-,-,-,-,<5,-,-,-,-,1
Boxlet Inlet 2,-,-,-,-,27.83,14,-,-,0.62,6.32,49
Cogswell,-,-,3,-,19.14,7,-,-,1.26,6.88,7
End Of Lake Inlet,-,-,-,-,38.46,<5,-,-,0.69,6.81,-
Outlet,-,-,-,-,18.48,7,-,-,0.49,6.75,36
West End Beach,-,-,-,-,-,<5,-,-,-,-,1
West Wind Village,-,-,5,-,40.34,7,-,-,0.76,6.81,23
