STATNAME,Alk. (mg/L),Chlor-a (μg/L),Chloride (mg/L),Color (pcu),Cond. (μS/cm),Total P (μg/L),Trans. NVS (m),Trans. VS (m),Turb. (ntu),pH,E. coli (mpn/100 mL)
Epilimnion,4.4,4.99,5,38,41.21666666666667,8,3.75,4.21,0.63,6.68,-
Metalimnion,-,-,-,-,40.77,11,-,-,1.31,5.98,-
Hypolimnion,-,-,-,-,44.18333333333333,10,-,-,4.63,6.06,-
Babcock Brook,-,-,-,-,57.419999999999995,10,-,-,0.55,6.49,-
Colby Brook,-,-,-,-,30.95,11,-,-,0.36,6.76,-
Davis Brook,-,-,15,-,96.68333333333334,21,-,-,1.24,6.04,-
Davis Brook #2,-,-,-,-,-,24,-,-,-,-,-
Davis Brook #3,-,-,-,-,-,23,-,-,-,-,-
Davis Brook #4,-,-,-,-,-,39,-,-,-,-,-
Frenches Park Brook,-,-,42,-,216.1,20,-,-,4.05,6.85,-
Howlett Brook,-,-,-,-,64.07333333333334,13,-,-,1.39,6.51,-
Melvin Bk Outlet,-,-,-,-,52.675,9,-,-,0.53,6.54,6
Melvin Bk Outlet #1,-,-,6,-,51.84,8,-,-,0.65,6.36,7
Pierce Brook 2,-,-,3,-,36.82,12,-,-,0.28,7.01,-
