STATNAME,Alk. (mg/L),Chlor-a (μg/L),Chloride (mg/L),Color (pcu),Cond. (μS/cm),Total P (μg/L),Trans. NVS (m),Trans. VS (m),Turb. (ntu),pH,E. coli (mpn/100 mL)
Epilimnion,31.5,12.5,71,105,346.03333333333336,21,1.79,2.18,1.65,7.39,-
Hypolimnion,-,-,67,-,332.53333333333336,44,-,-,5.88,6.99,-
17 Millville Circle,-,-,68,-,360,26,-,-,2.28,7.33,-
Car-Mar Cove,-,-,72,-,359,22,-,-,1.6,7.58,-
Chucks Cove,-,-,73,-,335.56666666666666,19,-,-,1.68,7.47,-
Generic,-,-,67,-,351.6,<5,-,-,1.81,7.44,-
Grove Cove Inlet,-,-,102,-,485.25,35,-,-,0.99,7.04,-
Hitty-Titty Brook,-,-,72,-,343.85,34,-,-,1.42,7.16,-
Outlet,-,-,73,-,347.2,18,-,-,1.58,7.44,-
Right Of Way,-,-,68,-,356.90000000000003,19,-,-,1.59,7.42,-
