STATNAME,Alk. (mg/L),Chlor-a (μg/L),Chloride (mg/L),Color (pcu),Cond. (μS/cm),Total P (μg/L),Trans. NVS (m),Trans. VS (m),Turb. (ntu),pH,E. coli (mpn/100 mL)
Epilimnion,3.4,1.05,4,14,28.265,<5,7.4,7.98,0.36,6.62,-
Metalimnion,-,-,-,-,26.79,7,-,-,0.88,6.55,-
Hypolimnion,-,-,-,-,28.26,5,-,-,0.94,5.93,-
Chloride 1,-,-,9,-,-,<5,-,-,-,-,-
Chloride 2,-,-,16,-,-,<5,-,-,-,-,-
Chloride 3,-,-,16,-,-,<5,-,-,-,-,-
Chloride 4,-,-,4,-,-,<5,-,-,-,-,-
Chloride 5,-,-,3,-,-,<5,-,-,-,-,-
Collins Brook,-,-,3,-,16.46,12,-,-,0.56,6.47,-
Cross Rd Brook,-,-,3,-,17.84,5,-,-,0.18,6.4,-
Outlet In Stream,-,-,4,-,29.295,6,-,-,0.38,6.67,-
Sucker Brook,-,-,3,-,21.71,5,-,-,0.18,6.7,-
