STATNAME,Alk. (mg/L),Chlor-a (μg/L),Chloride (mg/L),Color (pcu),Cond. (μS/cm),Total P (μg/L),Trans. NVS (m),Trans. VS (m),Turb. (ntu),pH,E. coli (mpn/100 mL)
Epilimnion,6.2,4.51,13,28,82.12333333333333,10,4.73,5.52,0.69,6.75,-
Metalimnion,-,-,15,-,80.81333333333333,10,-,-,0.83,6.75,-
Hypolimnion,-,-,14,-,85.12,14,-,-,1.48,6.42,-
Campbell Bay,-,-,14,-,76.47,7,-,-,0.55,6.82,-
Hedgehog Mtn Rd,-,-,12,-,-,<5,-,-,-,-,-
Main Inlet,-,-,25,-,127.51333333333334,8,-,-,1.59,6.44,-
Morotta Inlet,-,-,76,-,333.1,11,-,-,0.76,6.78,-
Morrotta Bay,-,-,18,-,85.93333333333334,12,-,-,1.31,6.83,-
Outlet,-,-,14,-,78.25333333333333,8,-,-,0.8,6.86,-
Rt 149 Culvert,-,-,34,-,-,<5,-,-,-,-,-
Salt Storage Wetland,-,-,5530,-,-,<5,-,-,-,-,-
Stream B,-,-,177,-,498.54999999999995,12,-,-,0.42,6.97,-
Zowski Cove,-,-,12,-,82.04,7,-,-,0.57,7,-
Zowski Inlet,-,-,18,-,97.67666666666666,13,-,-,1.16,6.89,-
