STATNAME,Alk. (mg/L),Chlor-a (μg/L),Chloride (mg/L),Color (pcu),Cond. (μS/cm),Total P (μg/L),Trans. NVS (m),Trans. VS (m),Turb. (ntu),pH,E. coli (mpn/100 mL)
Epilimnion,2.9,7.34,3,51,17.166666666666668,9,3.83,4.22,1.18,6.38,-
Metalimnion,-,-,-,-,19.526666666666667,8,-,-,0.83,5.87,-
Hypolimnion,-,-,-,-,28.07,23,-,-,2.32,6.01,-
Castor Lane,-,-,3,-,17.343333333333334,24,-,-,1.12,5.73,-
Craig Rd Bridge,-,-,3,-,17.253333333333334,16,-,-,0.9,5.71,-
Hattie Brown Brook,-,-,-,-,16.586666666666666,18,-,-,1.03,5.59,-
Hattie Brown Rd,-,-,3,-,14.633333333333333,10,-,-,0.45,6.13,-
Inlet,-,-,-,-,16.086666666666666,20,-,-,1.22,5.69,-
Outlet,-,-,-,-,17.39666666666667,8,-,-,0.86,6.35,-
White Birch Point,-,-,-,-,-,<5,-,-,-,-,1
