STATNAME,Alk. (mg/L),Chlor-a (μg/L),Chloride (mg/L),Color (pcu),Cond. (μS/cm),Total P (μg/L),Trans. NVS (m),Trans. VS (m),Turb. (ntu),pH,E. coli (mpn/100 mL)
Epilimnion,3.2,3.67,4,73,30.303333333333335,10,3.05,3.31,1.53,6.45,-
Metalimnion,-,-,-,-,30.18,10,-,-,1.19,6.23,-
Hypolimnion,-,-,-,-,37.35,16,-,-,3.31,5.97,-
Barden Pond Brook,-,-,-,-,24.265,14,-,-,1.16,6.45,-
Carr Brook,-,-,-,-,28.200000000000003,12,-,-,1.07,6.3,-
Dead Brook,-,-,-,-,53.595,17,-,-,1.21,6.37,-
Kennedy Brook,-,-,-,-,24.795,19,-,-,1.62,6.19,-
North Inlet,-,-,-,-,44.565,12,-,-,0.94,6.43,-
Pickerel Cove 2,-,-,-,-,21.483333333333334,12,-,-,0.8,6.11,-
Rice Brook,-,-,-,-,26.46,19,-,-,1.27,6.37,-
