STATNAME,Alk. (mg/L),Chlor-a (μg/L),Chloride (mg/L),Color (pcu),Cond. (μS/cm),Total P (μg/L),Trans. NVS (m),Trans. VS (m),Turb. (ntu),pH,E. coli (mpn/100 mL)
Epilimnion,3.5,3.22,17,101,89.94666666666667,11,2.51,3.13,1.3,6.46,-
Hypolimnion,-,-,-,-,90.9,17,-,-,5.54,6,-
Begun Inlet 2,-,-,25,-,158.93333333333334,22,-,-,4.9,6.71,-
Colburn 2,-,-,33,-,178.85000000000002,40,-,-,1.97,6.13,-
Converse 2,-,-,15,-,75.66,16,-,-,1.06,6.06,-
Converse Inlet,-,-,32,-,159.70000000000002,20,-,-,1.08,6.4,-
Coot Bay,-,-,58,-,238.45,31,-,-,0.32,6.44,-
Dapkas 2,-,-,3,-,21.835,33,-,-,0.74,5.27,-
Dapkas Inlet,-,-,14,-,63.765,20,-,-,1.06,5.35,-
Findley Point 2,-,-,6,-,33.6,31,-,-,2.24,5.4,-
Goddard Inlet 2,-,-,34,-,137.56666666666666,17,-,-,1.23,6.24,-
Loon Bay 2,-,-,11,-,48.485,27,-,-,1.26,5.44,-
Marina Inlet,-,-,37,-,141.70000000000002,31,-,-,3.33,6.54,11
Marina Inlet Upstream,-,-,24,-,113.33000000000001,21,-,-,2.14,6.12,30
Sandbeck Inlet,-,-,4,-,25.57,105,-,-,0.76,5.59,-
State Line Inlet,-,-,16,-,75.75,19,-,-,1.26,5.66,-
State Line Intermittent Stream,-,-,16,-,88.575,8,-,-,0.95,6.43,-
Swan Point 2,-,-,23,-,113.4,21,-,-,1.19,6.09,1
Swan Point Inlet,-,-,41,-,135.2,24,-,-,23.4,6.24,-
