PARAMETER,TREND
Chlorophyll-a,Worsening (weak)
Chlorophyll-a,Worsening (weak)
Chlorophyll-a,Worsening (weak)
pH (epilimnion),Stable
pH (epilimnion),Stable
pH (epilimnion),Stable
Transparency,Worsening (weak)
Transparency,Worsening (weak)
Transparency,Worsening (weak)
Conductivity,Improving (significant)
Conductivity,Improving (significant)
Conductivity,Improving (significant)
Phosphorus (epilimnion),Stable
Phosphorus (epilimnion),Stable
Phosphorus (epilimnion),Stable
Phosphorus (hypolimnion),Improving (significant)
Phosphorus (hypolimnion),Improving (significant)
Phosphorus (hypolimnion),Improving (significant)
