PARAMETER,TREND
Chlorophyll-a,Stable
Chlorophyll-a,Stable
Chlorophyll-a,Stable
pH (epilimnion),Worsening (weak)
pH (epilimnion),Worsening (weak)
pH (epilimnion),Worsening (weak)
Transparency,Worsening (weak)
Transparency,Worsening (weak)
Transparency,Worsening (weak)
Conductivity,Worsening (weak)
Conductivity,Worsening (weak)
Conductivity,Worsening (weak)
Phosphorus (epilimnion),Worsening (weak)
Phosphorus (epilimnion),Worsening (weak)
Phosphorus (epilimnion),Worsening (weak)
Phosphorus (hypolimnion),Worsening (weak)
Phosphorus (hypolimnion),Worsening (weak)
Phosphorus (hypolimnion),Worsening (weak)
