PARAMETER,TREND
Chlorophyll-a,Worsening (weak)
Chlorophyll-a,Worsening (weak)
Chlorophyll-a,Worsening (weak)
pH (epilimnion),Improving (significant)
pH (epilimnion),Improving (significant)
pH (epilimnion),Improving (significant)
Transparency,Improving (weak)
Transparency,Improving (weak)
Transparency,Improving (weak)
Conductivity,Improving (weak)
Conductivity,Improving (weak)
Conductivity,Improving (weak)
Phosphorus (epilimnion),Improving (weak)
Phosphorus (epilimnion),Improving (weak)
Phosphorus (epilimnion),Improving (weak)
Phosphorus (hypolimnion),Worsening (weak)
Phosphorus (hypolimnion),Worsening (weak)
Phosphorus (hypolimnion),Worsening (weak)
