PARAMETER,TREND
Chlorophyll-a,Worsening (weak)
Chlorophyll-a,Worsening (weak)
Chlorophyll-a,Worsening (weak)
pH (epilimnion),Worsening (weak)
pH (epilimnion),Worsening (weak)
pH (epilimnion),Worsening (weak)
Transparency,Worsening (weak)
Transparency,Worsening (weak)
Transparency,Worsening (weak)
Conductivity,Worsening (weak)
Conductivity,Worsening (weak)
Conductivity,Worsening (weak)
Phosphorus (epilimnion),Worsening (weak)
Phosphorus (epilimnion),Worsening (weak)
Phosphorus (epilimnion),Worsening (weak)
Phosphorus (hypolimnion),Improving (weak)
Phosphorus (hypolimnion),Improving (weak)
Phosphorus (hypolimnion),Improving (weak)
