PARAMETER,TREND
Chlorophyll-a,Worsening (weak)
Chlorophyll-a,Worsening (weak)
Chlorophyll-a,Worsening (weak)
pH (epilimnion),Improving (weak)
pH (epilimnion),Improving (weak)
pH (epilimnion),Improving (weak)
Transparency,Worsening (weak)
Transparency,Worsening (weak)
Transparency,Worsening (weak)
Conductivity,Worsening (weak)
Conductivity,Worsening (weak)
Conductivity,Worsening (weak)
Phosphorus (epilimnion),Stable
Phosphorus (epilimnion),Stable
Phosphorus (epilimnion),Stable
Phosphorus (hypolimnion),Improving (weak)
Phosphorus (hypolimnion),Improving (weak)
Phosphorus (hypolimnion),Improving (weak)
