PARAMETER,TREND
Chlorophyll-a,Improving (weak)
Chlorophyll-a,Improving (weak)
Chlorophyll-a,Improving (weak)
pH (epilimnion),Worsening (weak)
pH (epilimnion),Worsening (weak)
pH (epilimnion),Worsening (weak)
Transparency,Worsening (weak)
Transparency,Worsening (weak)
Transparency,Worsening (weak)
Conductivity,Improving (weak)
Conductivity,Improving (weak)
Conductivity,Improving (weak)
Phosphorus (epilimnion),Worsening (weak)
Phosphorus (epilimnion),Worsening (weak)
Phosphorus (epilimnion),Worsening (weak)
Phosphorus (hypolimnion),Worsening (weak)
Phosphorus (hypolimnion),Worsening (weak)
Phosphorus (hypolimnion),Worsening (weak)
