PARAMETER,TREND
Chlorophyll-a,Improving (weak)
Chlorophyll-a,Improving (weak)
Chlorophyll-a,Improving (weak)
pH (epilimnion),Worsening (weak)
pH (epilimnion),Worsening (weak)
pH (epilimnion),Worsening (weak)
Transparency,Stable
Transparency,Stable
Transparency,Stable
Conductivity,Worsening (weak)
Conductivity,Worsening (weak)
Conductivity,Worsening (weak)
Phosphorus (epilimnion),Stable
Phosphorus (epilimnion),Stable
Phosphorus (epilimnion),Stable
Phosphorus (hypolimnion),Improving (weak)
Phosphorus (hypolimnion),Improving (weak)
Phosphorus (hypolimnion),Improving (weak)
