PARAMETER,TREND
Chlorophyll-a,Stable
Chlorophyll-a,Stable
Chlorophyll-a,Stable
pH (epilimnion),Worsening (weak)
pH (epilimnion),Worsening (weak)
pH (epilimnion),Worsening (weak)
Transparency,Worsening (weak)
Transparency,Worsening (weak)
Transparency,Worsening (weak)
Conductivity,Stable
Conductivity,Stable
Conductivity,Stable
Phosphorus (epilimnion),Stable
Phosphorus (epilimnion),Stable
Phosphorus (epilimnion),Stable
Phosphorus (hypolimnion),Stable
Phosphorus (hypolimnion),Stable
Phosphorus (hypolimnion),Stable
