PARAMETER,TREND
Chlorophyll-a,Worsening (weak)
Chlorophyll-a,Worsening (weak)
Chlorophyll-a,Worsening (weak)
pH (epilimnion),Improving (weak)
pH (epilimnion),Improving (weak)
pH (epilimnion),Improving (weak)
Transparency,Stable
Transparency,Stable
Transparency,Stable
Conductivity,Improving (weak)
Conductivity,Improving (weak)
Conductivity,Improving (weak)
Phosphorus (epilimnion),Stable
Phosphorus (epilimnion),Stable
Phosphorus (epilimnion),Stable
Phosphorus (hypolimnion),Improving (weak)
Phosphorus (hypolimnion),Improving (weak)
Phosphorus (hypolimnion),Improving (weak)
