PARAMETER,TREND
Chlorophyll-a,Worsening (weak)
Chlorophyll-a,Worsening (weak)
Chlorophyll-a,Worsening (weak)
pH (epilimnion),Improving (weak)
pH (epilimnion),Improving (weak)
pH (epilimnion),Improving (weak)
Transparency,Stable
Transparency,Stable
Transparency,Stable
Conductivity,Worsening (weak)
Conductivity,Worsening (weak)
Conductivity,Worsening (weak)
Phosphorus (epilimnion),Worsening (weak)
Phosphorus (epilimnion),Worsening (weak)
Phosphorus (epilimnion),Worsening (weak)
Phosphorus (hypolimnion),Stable
