STATNAME,Alk. (mg/L),Chlor-a (μg/L),Chloride (mg/L),Color (pcu),Cond. (μS/cm),Total P (μg/L),Trans. NVS (m),Trans. VS (m),Turb. (ntu),pH,E. coli (mpn/100 mL)
Epilimnion,5.7,5.08,6,62,44.724000000000004,19,3.07,3.6,0.97,6.78,-
Metalimnion,-,-,-,-,46.76,15,-,-,1.21,6.18,-
Hypolimnion,-,-,7,179,57.288,53,-,-,7.03,6.23,-
#09 Fernalds B,-,-,26,-,217.15,1149,-,-,2.15,6.98,-
Back Creek B,-,-,7,-,43.358000000000004,32,-,-,1.36,6.32,-
Fernalds A,-,-,21,-,143.875,385,-,-,4.16,6.86,-
Fundy Brook,-,-,11,-,50.78,32,-,-,0.75,5.34,-
Mountain Brook,-,-,-,-,66.886,34,-,-,3.88,6.59,-
Round Pd Brook,-,-,3,-,22.5325,32,-,-,1.64,6.16,-
White Grove Brook,-,-,31,-,136.05,40,-,-,0.66,6.11,-
