STATNAME,Alk. (mg/L),Chlor-a (μg/L),Chloride (mg/L),Color (pcu),Cond. (μS/cm),Total P (μg/L),Trans. NVS (m),Trans. VS (m),Turb. (ntu),pH,E. coli (mpn/100 mL)
Epilimnion,17,11.23,25,41,152.23333333333335,11,4,4.25,0.68,7.25,-
Metalimnion,-,-,-,-,151.5,13,-,-,0.86,6.78,-
Hypolimnion,-,-,-,-,156.8,26,-,-,2.35,6.62,-
Burgess,-,-,-,-,-,<5,-,-,-,-,281
Carpenter,-,-,-,-,-,<5,-,-,-,-,3
Inlet,-,-,-,-,166,21,-,-,7.22,6.95,179
Ivers Brook,-,-,-,-,192.8,10,-,-,0.43,6.86,-
Outlet,-,-,-,-,151.7,12,-,-,0.81,7.33,6
Reed,-,-,-,-,-,<5,-,-,-,-,2
Swett,-,-,-,-,-,<5,-,-,-,-,3
