STATNAME,Alk. (mg/L),Chlor-a (μg/L),Chloride (mg/L),Color (pcu),Cond. (μS/cm),Total P (μg/L),Trans. NVS (m),Trans. VS (m),Turb. (ntu),pH,E. coli (mpn/100 mL)
Epilimnion,10.3,1.9,27,23,143.15,7,7.19,8.16,0.44,7.19,-
Metalimnion,-,-,27,-,141.475,10,-,-,0.96,7.08,-
Hypolimnion,-,-,27,40,146.22500000000002,23,-,-,2.18,6.64,-
855 Rte 63,-,-,3,-,45.45,11,-,-,1.3,7.06,-
Camp Spofford Inlet,-,-,61,-,311.3666666666667,24,-,-,2.41,6.83,-
Camp Spofford Inlet Watershed,-,-,33,-,150.6,19,-,-,0.4,7.06,-
Camp Spofford Watershed 2,-,-,35,-,186.03333333333333,30,-,-,1.2,6.81,-
Clarkdale Pipe,-,-,26,-,134.3,14,-,-,1.08,6.58,-
Lachance Inlet,-,-,5,-,52.92,24,-,-,0.62,6.3,-
Lachance Inlet Watershed,-,-,4,-,49.35,25,-,-,0.63,6.05,-
Moose Hollow Inlet,-,-,24,-,178.3,126,-,-,30.27,7.03,-
Moose Hollow Watershed,-,-,21,-,188.56666666666666,45,-,-,3.87,6.56,-
Outlet,-,-,32,-,173.9,28,-,-,3.36,6.92,-
Pinnacle Springs,-,-,38,-,172.6,16,-,-,0.96,6.01,-
Rt 63 #3 Inlet,-,-,268,-,961.55,30,-,-,3.52,7.11,-
Rte 63-3 Nw Drainage Ditch,-,-,90,-,357.2,14,-,-,1.92,6.91,-
Rte 63-3 Sw Drainage Ditch,-,-,301,-,981.2,<5,-,-,2.97,7.05,-
Seamans Inlet,-,-,274,-,1088.8666666666668,30,-,-,1.82,7.2,-
Seamans Inlet Watershed,-,-,316,-,1210.8333333333333,59,-,-,3.74,6.74,-
Spofford Hall Pipe,-,-,4,-,113.35333333333334,40,-,-,18.6,7.01,-
Wares Grove Inlet,-,-,70,-,319.3,12,-,-,0.74,6.56,-
Wares Grove Northeast Inlet,-,-,5,-,67.04,6,-,-,0.35,6.86,-
-,-,-,-,-,-,8,-,-,-,-,-
-,-,-,-,-,-,9,-,-,-,-,-
