stationid,PARAMETER,Regression,Mann-Kendall,agreement,,% in agreement
ANGSDND,Chlorophyll-a,Stable,Worsening,Disagree,,0.84
ANGSDND,pH (epilimnion),Stable,Stable,Agree,,
ANGSDND,Transparency,Stable,Stable,Agree,,
ANGSDND,Conductivity,Worsening,Worsening,Agree,,
ANGSDND,Phosphorus (epilimnion),Stable,Stable,Agree,,
ANGSDND,Phosphorus (hypolimnion),Stable,Stable,Agree,,
ARMPIED,Chlorophyll-a,Improving,Stable,Disagree,,
ARMPIED,pH (epilimnion),Stable,Stable,Agree,,
ARMPIED,Transparency,Worsening,Improving,Disagree,,
ARMPIED,Conductivity,Improving,Worsening,Disagree,,
ARMPIED,Phosphorus (epilimnion),Improving,Worsening,Disagree,,
ARMPIED,Phosphorus (hypolimnion),Stable,Stable,Agree,,
ASHWASD,Chlorophyll-a,Improving,Stable,Disagree,,
ASHWASD,pH (epilimnion),Improving,Improving,Agree,,
ASHWASD,Transparency,Stable,Stable,Agree,,
ASHWASD,Conductivity,Stable,Stable,Agree,,
ASHWASD,Phosphorus (epilimnion),Stable,Stable,Agree,,
ASHWASD,Phosphorus (hypolimnion),Stable,Stable,Agree,,
AYEBARD,Chlorophyll-a,Stable,Worsening,Disagree,,
AYEBARD,pH (epilimnion),Stable,Stable,Agree,,
AYEBARD,Transparency,Stable,Stable,Agree,,
AYEBARD,Conductivity,Worsening,Worsening,Agree,,
AYEBARD,Phosphorus (epilimnion),Stable,Stable,Agree,,
AYEBARD,Phosphorus (hypolimnion),Stable,Stable,Agree,,
BAPSPRD,Chlorophyll-a,Stable,Stable,Agree,,
BAPSPRD,pH (epilimnion),Stable,Stable,Agree,,
BAPSPRD,Transparency,Worsening,Improving,Disagree,,
BAPSPRD,Conductivity,Stable,Stable,Agree,,
BAPSPRD,Phosphorus (epilimnion),Stable,Stable,Agree,,
BAPSPRD,Phosphorus (hypolimnion),Worsening,Worsening,Agree,,
BAXFARD,Chlorophyll-a,Stable,Stable,Agree,,
BAXFARD,pH (epilimnion),Stable,Stable,Agree,,
BAXFARD,Transparency,Stable,Stable,Agree,,
BAXFARD,Conductivity,Worsening,Worsening,Agree,,
BAXFARD,Phosphorus (epilimnion),Stable,Stable,Agree,,
BAXFARD,Phosphorus (hypolimnion),Worsening,Worsening,Agree,,
BEADERD,Chlorophyll-a,Improving,Worsening,Disagree,,
BEADERD,pH (epilimnion),Stable,Stable,Agree,,
BEADERD,Transparency,Stable,Stable,Agree,,
BEADERD,Conductivity,Worsening,Worsening,Agree,,
BEADERD,Phosphorus (epilimnion),Worsening,Stable,Disagree,,
BEADERD,Phosphorus (hypolimnion),Worsening,Worsening,Agree,,
BEASWHD,Chlorophyll-a,Stable,Stable,Agree,,
BEASWHD,pH (epilimnion),Stable,Stable,Agree,,
BEASWHD,Transparency,Stable,Stable,Agree,,
BEASWHD,Conductivity,Stable,Stable,Agree,,
BEASWHD,Phosphorus (epilimnion),Stable,Stable,Agree,,
BEASWHD,Phosphorus (hypolimnion),Stable,Stable,Agree,,
BEELTUFD,Chlorophyll-a,Stable,Worsening,Disagree,,
