STATNAME,Alk. (mg/L),Chlor-a (μg/L),Chloride (mg/L),Color (pcu),Cond. (μS/cm),Total P (μg/L),Trans. NVS (m),Trans. VS (m),Turb. (ntu),pH,E. coli (mpn/100 mL)
Epilimnion,8.6,2.21,31,14,133.83333333333334,7,7.69,7.86,0.49,7.05,-
Metalimnion,-,-,-,-,134.39999999999998,9,-,-,0.72,6.66,-
Hypolimnion,-,-,-,-,133.33333333333334,13,-,-,0.96,6.31,-
Camp Rd Trib,-,-,4,-,36.06,16,-,-,1.03,6.26,-
Ee Brook,-,-,3,-,30.37,7,-,-,0.34,6.45,-
Inlet,-,-,24,-,115.45,11,-,-,1.06,6.72,-
Mayo Farm Bk,-,-,4,-,37.47,8,-,-,0.31,6.66,-
Outlet,-,-,29,-,137.66666666666669,7,-,-,0.74,7.03,-
Perkins Cove,-,-,29,-,139.56666666666666,8,-,-,0.57,6.96,-
Sayward Bk,-,-,24,-,115.8,16,-,-,0.68,6.63,-
Sayward Bk At Rock Ridge,-,-,22,-,107.7,24,-,-,1.34,6.63,-
Sayward Bk Upper,-,-,10,-,63.65,26,-,-,1.88,6.31,-
