STATNAME,Alk. (mg/L),Chlor-a (μg/L),Chloride (mg/L),Color (pcu),Cond. (μS/cm),Total P (μg/L),Trans. NVS (m),Trans. VS (m),Turb. (ntu),pH,E. coli (mpn/100 mL)
Epilimnion,6.5,6.08,11,81,61.973333333333336,13,3.15,3.68,1.1,6.68,-
Metalimnion,-,-,-,-,51.07,16,-,-,1.26,6.3,-
Hypolimnion,-,-,-,-,69.738,28,-,-,4.28,6.28,-
Collins Landing,-,-,10,-,54.730000000000004,9,-,-,0.78,6.78,-
Cottage Rd Brook,-,-,10,-,59.86333333333334,10,-,-,0.77,6.73,-
Dam,-,-,9,-,55.42,10,-,-,0.64,6.76,-
Main Inlet,-,-,10,-,59.58,14,-,-,0.69,6.68,-
Russell Drive Brook,-,-,10,-,57.486666666666665,10,-,-,0.75,6.74,-
Tiffany Hill,-,-,10,-,47.9,8,-,-,0.81,6.69,-
Waterman Cove,-,-,10,-,59.9375,9,-,-,0.78,6.78,-
